date,community,household,work
2021-02-17,0.8014285714285714,1.0642857142857143,0.88
2021-02-18,0.8071428571428572,1.062857142857143,0.8785714285714286
2021-02-19,0.8271428571428572,1.06,0.8771428571428571
2021-02-20,0.8514285714285714,1.0771428571428572,0.8142857142857143
2021-02-21,0.8557142857142856,1.0742857142857143,0.8171428571428572
2021-02-22,0.8642857142857143,1.0714285714285714,0.8214285714285714
2021-02-23,0.8628571428571429,1.0714285714285714,0.8214285714285714
2021-02-24,0.8642857142857143,1.072857142857143,0.8228571428571428
2021-02-25,0.87,1.072857142857143,0.8285714285714285
2021-02-26,0.8642857142857143,1.072857142857143,0.8342857142857143
2021-02-27,0.8328571428571429,1.0571428571428572,0.8971428571428571
2021-02-28,0.8414285714285714,1.0571428571428572,0.8957142857142857
2021-03-01,0.8414285714285714,1.0585714285714285,0.8942857142857144
2021-03-02,0.8442857142857143,1.06,0.8942857142857144
2021-03-03,0.8471428571428572,1.06,0.8914285714285715
2021-03-04,0.8457142857142858,1.06,0.8871428571428571
2021-03-05,0.8442857142857143,1.0614285714285714,0.8842857142857143
2021-03-06,0.86,1.0585714285714285,0.8857142857142857
2021-03-07,0.8628571428571429,1.0585714285714285,0.8857142857142857
2021-03-08,0.87,1.0571428571428572,0.8857142857142857
2021-03-09,0.8757142857142857,1.0557142857142856,0.8842857142857143
2021-03-10,0.8714285714285714,1.0571428571428572,0.8785714285714286
2021-03-11,0.88,1.0557142857142856,0.88
2021-03-12,0.8885714285714286,1.0542857142857143,0.8814285714285715
2021-03-13,0.8885714285714286,1.0542857142857143,0.8814285714285715
2021-03-14,0.8885714285714286,1.0542857142857143,0.8814285714285715
2021-03-15,0.89,1.0542857142857143,0.8814285714285715
2021-03-16,0.8985714285714286,1.052857142857143,0.88
2021-03-17,0.9114285714285715,1.05,0.8628571428571429
2021-03-18,0.89,1.0542857142857143,0.8571428571428571
2021-03-19,0.8885714285714286,1.0542857142857143,0.8557142857142856
2021-03-20,0.8957142857142857,1.052857142857143,0.8557142857142856
2021-03-21,0.9014285714285715,1.0514285714285714,0.8557142857142856
2021-03-22,0.9057142857142857,1.0514285714285714,0.8542857142857143
2021-03-23,0.9071428571428571,1.05,0.8542857142857143
2021-03-24,0.9085714285714286,1.0457142857142858,0.8757142857142857
2021-03-25,0.92,1.042857142857143,0.88
2021-03-26,0.9285714285714286,1.0414285714285714,0.8771428571428571
2021-03-27,0.9342857142857143,1.0414285714285714,0.8742857142857143
2021-03-28,0.9385714285714286,1.0414285714285714,0.8742857142857143
2021-03-29,0.9357142857142857,1.04,0.8742857142857143
2021-03-30,0.9285714285714286,1.0414285714285714,0.8742857142857143
2021-03-31,0.9242857142857143,1.0442857142857143,0.8728571428571429
2021-04-01,0.9228571428571428,1.0457142857142858,0.8685714285714285
2021-04-02,0.9128571428571428,1.0471428571428572,0.8685714285714285
2021-04-03,0.9028571428571428,1.0471428571428572,0.8671428571428571
2021-04-04,0.8928571428571429,1.0485714285714285,0.8628571428571429
2021-04-05,0.8871428571428571,1.05,0.8614285714285714
2021-04-06,0.8828571428571429,1.05,0.8614285714285714
2021-04-07,0.88,1.0514285714285714,0.8585714285714285
2021-04-08,0.8857142857142857,1.0485714285714285,0.8614285714285714
2021-04-09,0.8814285714285715,1.0485714285714285,0.8642857142857143
2021-04-10,0.87,1.05,0.8657142857142857
2021-04-11,0.86,1.0514285714285714,0.8671428571428571
2021-04-12,0.8642857142857143,1.05,0.87
2021-04-13,0.8657142857142857,1.05,0.8714285714285714
2021-04-14,0.8557142857142856,1.052857142857143,0.8714285714285714
2021-04-15,0.8557142857142856,1.0542857142857143,0.87
2021-04-16,0.8571428571428571,1.0542857142857143,0.8714285714285714
2021-04-17,0.8671428571428571,1.052857142857143,0.8742857142857143
2021-04-18,0.8742857142857143,1.0514285714285714,0.8771428571428571
2021-04-19,0.8685714285714285,1.052857142857143,0.8771428571428571
2021-04-20,0.87,1.052857142857143,0.8785714285714286
2021-04-21,0.8814285714285715,1.0485714285714285,0.8828571428571429
2021-04-22,0.8757142857142857,1.0485714285714285,0.8828571428571429
2021-04-23,0.8728571428571429,1.0485714285714285,0.8828571428571429
2021-04-24,0.8685714285714285,1.0485714285714285,0.8828571428571429
2021-04-25,0.8671428571428571,1.0485714285714285,0.8828571428571429
2021-04-26,0.87,1.072857142857143,0.8142857142857143
2021-04-27,0.8757142857142857,1.0771428571428572,0.7971428571428572
2021-04-28,0.8614285714285714,1.0814285714285714,0.7885714285714286
2021-04-29,0.86,1.082857142857143,0.7814285714285714
2021-04-30,0.8971428571428571,1.1028571428571428,0.6985714285714286
2021-05-01,0.9299999999999999,1.1242857142857143,0.6157142857142857
2021-05-02,0.9371428571428572,1.15,0.5342857142857143
2021-05-03,0.9314285714285715,1.1285714285714286,0.5957142857142856
2021-05-04,0.9128571428571428,1.1285714285714286,0.6057142857142856
2021-05-05,0.9114285714285715,1.1285714285714286,0.6185714285714285
2021-05-06,0.9085714285714286,1.13,0.6257142857142857
2021-05-07,0.8685714285714285,1.1114285714285714,0.7071428571428571
2021-05-08,0.8285714285714285,1.092857142857143,0.7885714285714286
2021-05-09,0.8114285714285714,1.0685714285714285,0.8671428571428571
2021-05-10,0.8028571428571428,1.0685714285714285,0.8714285714285714
2021-05-11,0.8057142857142857,1.0657142857142856,0.8771428571428571
2021-05-12,0.8085714285714286,1.0657142857142856,0.8714285714285714
2021-05-13,0.8014285714285714,1.0671428571428572,0.8685714285714285
2021-05-14,0.7942857142857143,1.0685714285714285,0.8685714285714285
