date,reporting coverage=1    ,reporting coverage=0.5  ,reporting coverage=0.25 ,reporting coverage=0.125
2021-02-17,0.20688857142857142,0.20993857142857136,0.21992714285714277,0.24313857142857143
2021-02-18,0.21342142857142854,0.2164685714285714,0.2264457142857142,0.24963142857142856
2021-02-19,0.23494000000000007,0.23797428571428575,0.24791714285714284,0.27102000000000004
2021-02-20,0.25604285714285707,0.2595114285714285,0.27023142857142857,0.29540285714285713
2021-02-21,0.26149142857142854,0.2649257142857142,0.2755771428571428,0.3005714285714285
2021-02-22,0.2711071428571429,0.2745000000000001,0.28507142857142864,0.30985714285714294
2021-02-23,0.26967857142857143,0.27307142857142863,0.2836428571428572,0.3084285714285715
2021-02-24,0.27028857142857143,0.2736842857142857,0.28426714285714283,0.3090785714285714
2021-02-25,0.27552857142857134,0.27889571428571425,0.28943285714285705,0.3141185714285714
2021-02-26,0.26933999999999997,0.27267857142857144,0.2831699999999999,0.30773000000000006
2021-02-27,0.24039428571428567,0.24330857142857149,0.2530457142857142,0.2755942857142857
2021-02-28,0.2490842857142857,0.25200571428571433,0.26175428571428566,0.2843342857142857
2021-03-01,0.2485028571428572,0.25144142857142865,0.2612242857142857,0.28389285714285717
2021-03-02,0.25066000000000005,0.25360857142857146,0.26341428571428566,0.28614
2021-03-03,0.2537542857142858,0.2567171428571429,0.2665457142857143,0.28933428571428577
2021-03-04,0.2526814285714286,0.25566571428571433,0.2655285714285714,0.2884114285714286
2021-03-05,0.25079,0.2537985714285715,0.26370714285714286,0.28671
2021-03-06,0.26778571428571435,0.27076714285714293,0.2806185714285714,0.3034757142857143
2021-03-07,0.27064285714285724,0.2736242857142858,0.2834757142857143,0.3063328571428572
2021-03-08,0.2784857142857143,0.2814571428571429,0.29128571428571426,0.3140857142857143
2021-03-09,0.2850185714285714,0.28798714285714283,0.2978042857142857,0.3205785714285714
2021-03-10,0.28050714285714284,0.2835142857142858,0.29339999999999994,0.31635714285714284
2021-03-11,0.28966000000000003,0.29265,0.3025014285714286,0.32537000000000005
2021-03-12,0.2988128571428572,0.30178571428571427,0.31160285714285707,0.3343828571428572
2021-03-13,0.2988128571428572,0.30178571428571427,0.31160285714285707,0.3343828571428572
2021-03-14,0.2988128571428572,0.30178571428571427,0.31160285714285707,0.3343828571428572
2021-03-15,0.30024142857142866,0.3032142857142857,0.3130314285714285,0.33581142857142865
2021-03-16,0.30963142857142856,0.31260142857142853,0.3224071428571428,0.34516142857142856
2021-03-17,0.32531142857142864,0.32834714285714295,0.33824428571428566,0.3612614285714286
2021-03-18,0.3022571428571429,0.3053514285714286,0.3153628571428571,0.3386771428571429
2021-03-19,0.3009471428571429,0.30404857142857145,0.31407142857142856,0.3374171428571429
2021-03-20,0.30878999999999995,0.31188142857142853,0.3218814285714285,0.34517
2021-03-21,0.31520428571428577,0.3182857142857144,0.3282628571428572,0.3514942857142858
2021-03-22,0.3196085714285714,0.3226971428571429,0.33268571428571425,0.35594857142857145
2021-03-23,0.3217371428571429,0.3248157142857143,0.3347814285714285,0.35798714285714284
2021-03-24,0.3234871428571428,0.3264285714285714,0.33615428571428563,0.35871714285714285
2021-03-25,0.33596000000000004,0.33886,0.34850571428571425,0.37086
2021-03-26,0.34546857142857146,0.3483728571428572,0.35801857142857146,0.3803785714285715
2021-03-27,0.35142,0.35433857142857145,0.36400714285714286,0.38643
2021-03-28,0.35570571428571435,0.3586242857142858,0.3682928571428572,0.39071571428571433
2021-03-29,0.3535485714285714,0.35645714285714286,0.36610285714285706,0.3884685714285714
2021-03-30,0.34570571428571434,0.3486242857142858,0.3582928571428572,0.3807157142857143
2021-03-31,0.34013857142857146,0.3430842857142857,0.35280999999999996,0.37537857142857145
2021-04-01,0.33836571428571416,0.34134285714285706,0.35112571428571415,0.3738457142857142
2021-04-02,0.3276657142857142,0.3306528571428572,0.34045857142857133,0.3632357142857143
2021-04-03,0.31778428571428563,0.32077857142857147,0.3305957142857142,0.3534042857142857
2021-04-04,0.3074400000000001,0.31046571428571446,0.32034000000000007,0.34330000000000005
2021-04-05,0.30114428571428575,0.3041871428571429,0.3140957142857142,0.3371442857142857
2021-04-06,0.2968585714285715,0.29990142857142865,0.30981,0.33285857142857145
2021-04-07,0.2935385714285714,0.29660571428571436,0.30656,0.3297285714285715
2021-04-08,0.30041571428571434,0.3034485714285715,0.3133342857142857,0.3363257142857143
2021-04-09,0.29589285714285724,0.2989114285714287,0.3087742857142857,0.3317028571428572
2021-04-10,0.28364571428571433,0.2866671428571429,0.2965414285714285,0.31949571428571427
2021-04-11,0.2728271428571428,0.27585142857142864,0.2857371428571428,0.3087171428571429
