date,a0009,a1019,a2029,a3039,a4049,a5059,a6069,a7079,a8089,a90,cases
2021/2/2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,972
2021/2/3,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,972
2021/2/4,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,972
2021/2/5,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,972
2021/2/6,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,972
2021/2/7,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,972
2021/2/8,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,972
2021/2/9,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,972
2021/2/10,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,972
2021/2/11,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,972
2021/2/12,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,972
2021/2/13,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,972
2021/2/14,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,972
2021/2/15,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,972
2021/2/16,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,972
2021/2/17,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,972
2021/2/18,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,972
2021/2/19,92.6,92.6,92.6,92.6,92.6,92.6,92.6,92.6,92.6,92.6,926
2021/2/20,89.6,89.6,89.6,89.6,89.6,89.6,89.6,89.6,89.6,89.6,896
2021/2/21,89.6,89.6,89.6,89.6,89.6,89.6,89.6,89.6,89.6,89.6,896
2021/2/22,91.1,91.1,91.1,91.1,91.1,91.1,91.1,91.1,91.1,91.1,911
2021/2/23,95.7,95.7,95.7,95.7,95.7,95.7,95.7,95.7,95.7,95.7,957
2021/2/24,101.7,101.7,101.7,101.7,101.7,101.7,101.7,101.7,101.7,101.7,1017
2021/2/25,101.7,101.7,101.7,101.7,101.7,101.7,101.7,101.7,101.7,101.7,1017
2021/2/26,101.7,101.7,101.7,101.7,101.7,101.7,101.7,101.7,101.7,101.7,1017
2021/2/27,95.7,95.7,95.7,95.7,95.7,95.7,95.7,95.7,95.7,95.7,957
2021/2/28,98.7,98.7,98.7,98.7,98.7,98.7,98.7,98.7,98.7,98.7,987
2021/3/1,107.8,107.8,107.8,107.8,107.8,107.8,107.8,107.8,107.8,107.8,1078
2021/3/2,115.4,115.4,115.4,115.4,115.4,115.4,115.4,115.4,115.4,115.4,1154
2021/3/3,116.9,116.9,116.9,116.9,116.9,116.9,116.9,116.9,116.9,116.9,1169
2021/3/4,118.4,118.4,118.4,118.4,118.4,118.4,118.4,118.4,118.4,118.4,1184
2021/3/5,115.4,115.4,115.4,115.4,115.4,115.4,115.4,115.4,115.4,115.4,1154
2021/3/6,112.4,112.4,112.4,112.4,112.4,112.4,112.4,112.4,112.4,112.4,1124
2021/3/7,107.8,107.8,107.8,107.8,107.8,107.8,107.8,107.8,107.8,107.8,1078
2021/3/8,115.4,115.4,115.4,115.4,115.4,115.4,115.4,115.4,115.4,115.4,1154
2021/3/9,124.5,124.5,124.5,124.5,124.5,124.5,124.5,124.5,124.5,124.5,1245
2021/3/10,135.1,135.1,135.1,135.1,135.1,135.1,135.1,135.1,135.1,135.1,1351
2021/3/11,135.1,135.1,135.1,135.1,135.1,135.1,135.1,135.1,135.1,135.1,1351
2021/3/12,133.6,133.6,133.6,133.6,133.6,133.6,133.6,133.6,133.6,133.6,1336
2021/3/13,133.6,133.6,133.6,133.6,133.6,133.6,133.6,133.6,133.6,133.6,1336
2021/3/14,142.7,142.7,142.7,142.7,142.7,142.7,142.7,142.7,142.7,142.7,1427
2021/3/15,153.4,153.4,153.4,153.4,153.4,153.4,153.4,153.4,153.4,153.4,1534
2021/3/16,170.1,170.1,170.1,170.1,170.1,170.1,170.1,170.1,170.1,170.1,1701
2021/3/17,185.2,185.2,185.2,185.2,185.2,185.2,185.2,185.2,185.2,185.2,1852
2021/3/18,191.3,191.3,191.3,191.3,191.3,191.3,191.3,191.3,191.3,191.3,1913
2021/3/19,194.4,194.4,194.4,194.4,194.4,194.4,194.4,194.4,194.4,194.4,1944
2021/3/20,195.9,195.9,195.9,195.9,195.9,195.9,195.9,195.9,195.9,195.9,1959
2021/3/21,205,205,205,205,205,205,205,205,205,205,2050
2021/3/22,221.7,221.7,221.7,221.7,221.7,221.7,221.7,221.7,221.7,221.7,2217
2021/3/23,241.4,241.4,241.4,241.4,241.4,241.4,241.4,241.4,241.4,241.4,2414
2021/3/24,265.7,265.7,265.7,265.7,265.7,265.7,265.7,265.7,265.7,265.7,2657
2021/3/25,271.8,271.8,271.8,271.8,271.8,271.8,271.8,271.8,271.8,271.8,2718
2021/3/26,264.2,264.2,264.2,264.2,264.2,264.2,264.2,264.2,264.2,264.2,2642
2021/3/27,264.2,264.2,264.2,264.2,264.2,264.2,264.2,264.2,264.2,264.2,2642
2021/3/28,267.2,267.2,267.2,267.2,267.2,267.2,267.2,267.2,267.2,267.2,2672
2021/3/29,279.4,279.4,279.4,279.4,279.4,279.4,279.4,279.4,279.4,279.4,2794
2021/3/30,297.6,297.6,297.6,297.6,297.6,297.6,297.6,297.6,297.6,297.6,2976
2021/3/31,309.7,309.7,309.7,309.7,309.7,309.7,309.7,309.7,309.7,309.7,3097
2021/4/1,317.3,317.3,317.3,317.3,317.3,317.3,317.3,317.3,317.3,317.3,3173
2021/4/2,314.3,314.3,314.3,314.3,314.3,314.3,314.3,314.3,314.3,314.3,3143
2021/4/3,312.8,312.8,312.8,312.8,312.8,312.8,312.8,312.8,312.8,312.8,3128
2021/4/4,329.5,329.5,329.5,329.5,329.5,329.5,329.5,329.5,329.5,329.5,3295
2021/4/5,356.8,356.8,356.8,356.8,356.8,356.8,356.8,356.8,356.8,356.8,3568
2021/4/6,397.8,397.8,397.8,397.8,397.8,397.8,397.8,397.8,397.8,397.8,3978
2021/4/7,423.6,423.6,423.6,423.6,423.6,423.6,423.6,423.6,423.6,423.6,4236
2021/4/8,446.4,446.4,446.4,446.4,446.4,446.4,446.4,446.4,446.4,446.4,4464
2021/4/9,443.4,443.4,443.4,443.4,443.4,443.4,443.4,443.4,443.4,443.4,4434
2021/4/10,440.3,440.3,440.3,440.3,440.3,440.3,440.3,440.3,440.3,440.3,4403
2021/4/11,431.2,431.2,431.2,431.2,431.2,431.2,431.2,431.2,431.2,431.2,4312
2021/4/12,457,457,457,457,457,457,457,457,457,457,4570
2021/4/13,473.7,473.7,473.7,473.7,473.7,473.7,473.7,473.7,473.7,473.7,4737
2021/4/14,478.3,478.3,478.3,478.3,478.3,478.3,478.3,478.3,478.3,478.3,4783
2021/4/15,488.9,488.9,488.9,488.9,488.9,488.9,488.9,488.9,488.9,488.9,4889
