date,a0009,a1019,a2029,a3039,a4049,a5059,a6069,a7079,a8089,a90,cases
2021/2/2,36.798769771528995,61.14147627416521,165.9859402460457,131.0377855887522,127.97715289982425,118.65289982425307,94.95079086115993,100.78734622144113,92.17486818980667,42.49297012302284,972
2021/2/3,35.947494530680274,57.617251797062195,162.52317949786436,126.67694551515784,129.91728305031776,126.87946661110533,93.66600687571622,98.22273153453484,99.64037920616731,40.9092613813939,972
2021/2/4,35.947494530680274,57.617251797062195,162.52317949786436,126.67694551515784,129.91728305031776,126.87946661110533,93.66600687571622,98.22273153453484,99.64037920616731,40.9092613813939,972
2021/2/5,35.947494530680274,57.617251797062195,162.52317949786436,126.67694551515784,129.91728305031776,126.87946661110533,93.66600687571622,98.22273153453484,99.64037920616731,40.9092613813939,972
2021/2/6,35.947494530680274,57.617251797062195,162.52317949786436,126.67694551515784,129.91728305031776,126.87946661110533,93.66600687571622,98.22273153453484,99.64037920616731,40.9092613813939,972
2021/2/7,35.947494530680274,57.617251797062195,162.52317949786436,126.67694551515784,129.91728305031776,126.87946661110533,93.66600687571622,98.22273153453484,99.64037920616731,40.9092613813939,972
2021/2/8,35.947494530680274,57.617251797062195,162.52317949786436,126.67694551515784,129.91728305031776,126.87946661110533,93.66600687571622,98.22273153453484,99.64037920616731,40.9092613813939,972
2021/2/9,35.947494530680274,57.617251797062195,162.52317949786436,126.67694551515784,129.91728305031776,126.87946661110533,93.66600687571622,98.22273153453484,99.64037920616731,40.9092613813939,972
2021/2/10,31.932789968652035,60.08727272727273,166.0017554858934,136.38470219435737,125.29354231974922,122.73404388714734,92.87322884012539,102.13617554858934,97.01717868338558,37.53931034482759,972
2021/2/11,31.932789968652035,60.08727272727273,166.0017554858934,136.38470219435737,125.29354231974922,122.73404388714734,92.87322884012539,102.13617554858934,97.01717868338558,37.53931034482759,972
2021/2/12,31.932789968652035,60.08727272727273,166.0017554858934,136.38470219435737,125.29354231974922,122.73404388714734,92.87322884012539,102.13617554858934,97.01717868338558,37.53931034482759,972
2021/2/13,31.932789968652035,60.08727272727273,166.0017554858934,136.38470219435737,125.29354231974922,122.73404388714734,92.87322884012539,102.13617554858934,97.01717868338558,37.53931034482759,972
2021/2/14,31.932789968652035,60.08727272727273,166.0017554858934,136.38470219435737,125.29354231974922,122.73404388714734,92.87322884012539,102.13617554858934,97.01717868338558,37.53931034482759,972
2021/2/15,31.932789968652035,60.08727272727273,166.0017554858934,136.38470219435737,125.29354231974922,122.73404388714734,92.87322884012539,102.13617554858934,97.01717868338558,37.53931034482759,972
2021/2/16,31.932789968652035,60.08727272727273,166.0017554858934,136.38470219435737,125.29354231974922,122.73404388714734,92.87322884012539,102.13617554858934,97.01717868338558,37.53931034482759,972
2021/2/17,44.134694499466704,49.762608563157094,167.504494895627,130.0344354715831,128.40530245314645,114.92792930062471,90.34283102239829,110.78104525369496,94.04540606429987,42.061252476001826,972
2021/2/18,44.134694499466704,49.762608563157094,167.504494895627,130.0344354715831,128.40530245314645,114.92792930062471,90.34283102239829,110.78104525369496,94.04540606429987,42.061252476001826,972
2021/2/19,42.046015541673015,47.40758799329575,159.57732744171872,123.8805424348621,122.32850830412922,109.48895322261161,86.06734724973336,105.53832088983697,89.59469754685358,40.07069937528569,926
2021/2/20,40.68383361267713,45.871705012951395,154.40743562395247,119.86713393265273,118.36538168520495,105.94179491086393,83.27898826756056,102.11915282645131,86.69206155721469,38.77251257047082,896
2021/2/21,40.68383361267713,45.871705012951395,154.40743562395247,119.86713393265273,118.36538168520495,105.94179491086393,83.27898826756056,102.11915282645131,86.69206155721469,38.77251257047082,896
2021/2/22,41.364924577175074,46.63964650312357,156.9923815328356,121.87383818375741,120.34694499466708,107.71537406673778,84.67316775864695,103.82873685814414,88.14337955203413,39.421605972878254,911
2021/2/23,43.453603534968764,48.99466707298492,164.91954898674388,128.02773122047844,126.4237391436843,113.15435014475088,88.9486515313119,109.07146122200213,92.59408806948042,41.41215907359439,957
2021/2/24,35.976090604026844,57.16359060402685,177.46308724832215,140.7760067114094,143.05117449664428,129.5423657718121,100.10738255033557,112.19421140939598,91.5755033557047,29.150587248322147,1017
2021/2/25,35.976090604026844,57.16359060402685,177.46308724832215,140.7760067114094,143.05117449664428,129.5423657718121,100.10738255033557,112.19421140939598,91.5755033557047,29.150587248322147,1017
2021/2/26,35.976090604026844,57.16359060402685,177.46308724832215,140.7760067114094,143.05117449664428,129.5423657718121,100.10738255033557,112.19421140939598,91.5755033557047,29.150587248322147,1017
2021/2/27,33.85360738255034,53.79110738255034,166.99328859060404,132.47063758389262,134.61157718120805,121.89974832214766,94.20134228187919,105.57508389261746,86.17281879194631,27.430788590604028,957
2021/2/28,34.914848993288594,55.477348993288594,172.2281879194631,136.623322147651,138.83137583892616,125.72105704697988,97.15436241610739,108.88464765100672,88.8741610738255,28.290687919463085,987
2021/3/1,38.133948545861294,60.59228187919463,188.10738255033556,149.21979865771814,151.6314317673378,137.31236017897092,106.11185682326622,118.92365771812081,97.06823266219239,30.899049217002236,1078
2021/3/2,40.82242729306488,64.86409395973155,201.36912751677852,159.73993288590606,162.32158836689035,146.99300894854588,113.59284116331096,127.30788590604027,103.91163310961969,33.077460850111855,1154
2021/3/3,43.74573881840318,72.51006023324362,235.35806740997054,163.8967063949763,160.75060874022813,145.7691913366654,99.62642573369217,117.45431244393181,94.53274381648083,35.35614507240805,1169
