Infection,a0009,a1019,a2029,a3039,a4049,a5059,a6069,a7079,a8089,a90,cases
2021/2/2,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,926.1135017
2021/2/3,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,926.1135017
2021/2/4,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,926.1135017
2021/2/5,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,926.1135017
2021/2/6,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,926.1135017
2021/2/7,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,926.1135017
2021/2/8,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,926.1135017
2021/2/9,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,926.1135017
2021/2/10,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,926.1135017
2021/2/11,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,926.1135017
2021/2/12,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,926.1135017
2021/2/13,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,926.1135017
2021/2/14,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,926.1135017
2021/2/15,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,926.1135017
2021/2/16,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,926.1135017
2021/2/17,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,92.61135017,926.1135017
2021/2/18,96.70234025,96.70234025,96.70234025,96.70234025,96.70234025,96.70234025,96.70234025,96.70234025,96.70234025,96.70234025,967.0234025
2021/2/19,98.05532162,98.05532162,98.05532162,98.05532162,98.05532162,98.05532162,98.05532162,98.05532162,98.05532162,98.05532162,980.5532162
2021/2/20,92.5664858,92.5664858,92.5664858,92.5664858,92.5664858,92.5664858,92.5664858,92.5664858,92.5664858,92.5664858,925.664858
2021/2/21,89.81565869,89.81565869,89.81565869,89.81565869,89.81565869,89.81565869,89.81565869,89.81565869,89.81565869,89.81565869,898.1565869
2021/2/22,88.43191318,88.43191318,88.43191318,88.43191318,88.43191318,88.43191318,88.43191318,88.43191318,88.43191318,88.43191318,884.3191318
2021/2/23,89.78489455,89.78489455,89.78489455,89.78489455,89.78489455,89.78489455,89.78489455,89.78489455,89.78489455,89.78489455,897.8489455
2021/2/24,96.61389334,96.61389334,96.61389334,96.61389334,96.61389334,96.61389334,96.61389334,96.61389334,96.61389334,96.61389334,966.1389334
2021/2/25,102.071965,102.071965,102.071965,102.071965,102.071965,102.071965,102.071965,102.071965,102.071965,102.071965,1020.71965
2021/2/26,106.1616733,106.1616733,106.1616733,106.1616733,106.1616733,106.1616733,106.1616733,106.1616733,106.1616733,106.1616733,1061.616733
2021/2/27,99.30575584,99.30575584,99.30575584,99.30575584,99.30575584,99.30575584,99.30575584,99.30575584,99.30575584,99.30575584,993.0575584
2021/2/28,96.5536469,96.5536469,96.5536469,96.5536469,96.5536469,96.5536469,96.5536469,96.5536469,96.5536469,96.5536469,965.536469
2021/3/1,95.16990139,95.16990139,95.16990139,95.16990139,95.16990139,95.16990139,95.16990139,95.16990139,95.16990139,95.16990139,951.6990139
2021/3/2,101.9976183,101.9976183,101.9976183,101.9976183,101.9976183,101.9976183,101.9976183,101.9976183,101.9976183,101.9976183,1019.976183
2021/3/3,110.1936987,110.1936987,110.1936987,110.1936987,110.1936987,110.1936987,110.1936987,110.1936987,110.1936987,110.1936987,1101.936987
2021/3/4,117.0201338,117.0201338,117.0201338,117.0201338,117.0201338,117.0201338,117.0201338,117.0201338,117.0201338,117.0201338,1170.201338
2021/3/5,119.7421196,119.7421196,119.7421196,119.7421196,119.7421196,119.7421196,119.7421196,119.7421196,119.7421196,119.7421196,1197.421196
2021/3/6,116.9906515,116.9906515,116.9906515,116.9906515,116.9906515,116.9906515,116.9906515,116.9906515,116.9906515,116.9906515,1169.906515
2021/3/7,107.3967254,107.3967254,107.3967254,107.3967254,107.3967254,107.3967254,107.3967254,107.3967254,107.3967254,107.3967254,1073.967254
2021/3/8,106.0129799,106.0129799,106.0129799,106.0129799,106.0129799,106.0129799,106.0129799,106.0129799,106.0129799,106.0129799,1060.129799
2021/3/9,110.10397,110.10397,110.10397,110.10397,110.10397,110.10397,110.10397,110.10397,110.10397,110.10397,1101.0397
2021/3/10,121.0367773,121.0367773,121.0367773,121.0367773,121.0367773,121.0367773,121.0367773,121.0367773,121.0367773,121.0367773,1210.367773
2021/3/11,133.3366661,133.3366661,133.3366661,133.3366661,133.3366661,133.3366661,133.3366661,133.3366661,133.3366661,133.3366661,1333.366661
2021/3/12,137.4263744,137.4263744,137.4263744,137.4263744,137.4263744,137.4263744,137.4263744,137.4263744,137.4263744,137.4263744,1374.263744
2021/3/13,136.0439107,136.0439107,136.0439107,136.0439107,136.0439107,136.0439107,136.0439107,136.0439107,136.0439107,136.0439107,1360.439107
2021/3/14,130.5550749,130.5550749,130.5550749,130.5550749,130.5550749,130.5550749,130.5550749,130.5550749,130.5550749,130.5550749,1305.550749
2021/3/15,134.6447831,134.6447831,134.6447831,134.6447831,134.6447831,134.6447831,134.6447831,134.6447831,134.6447831,134.6447831,1346.447831
