Infection,a0009,a1019,a2029,a3039,a4049,a5059,a6069,a7079,a8089,a90,cases
2021/2/2,35.06156124625805,58.255089188657,158.15002094056825,124.85171035659785,121.93556503050674,113.05149438590362,90.46832244198887,96.02934376151143,87.8234464485574,40.48694789945079,926.1135017
2021/2/3,34.25047328924888,54.8972374692468,154.85073134998436,120.69673826718409,123.78410487353892,120.88969868008127,89.24419096494427,93.58580025513075,94.93652314541099,38.978003405229714,926.1135017
2021/2/4,34.25047328924888,54.8972374692468,154.85073134998436,120.69673826718409,123.78410487353892,120.88969868008127,89.24419096494427,93.58580025513075,94.93652314541099,38.978003405229714,926.1135017
2021/2/5,34.25047328924888,54.8972374692468,154.85073134998436,120.69673826718409,123.78410487353892,120.88969868008127,89.24419096494427,93.58580025513075,94.93652314541099,38.978003405229714,926.1135017
2021/2/6,34.25047328924888,54.8972374692468,154.85073134998436,120.69673826718409,123.78410487353892,120.88969868008127,89.24419096494427,93.58580025513075,94.93652314541099,38.978003405229714,926.1135017
2021/2/7,34.25047328924888,54.8972374692468,154.85073134998436,120.69673826718409,123.78410487353892,120.88969868008127,89.24419096494427,93.58580025513075,94.93652314541099,38.978003405229714,926.1135017
2021/2/8,34.25047328924888,54.8972374692468,154.85073134998436,120.69673826718409,123.78410487353892,120.88969868008127,89.24419096494427,93.58580025513075,94.93652314541099,38.978003405229714,926.1135017
2021/2/9,34.25047328924888,54.8972374692468,154.85073134998436,120.69673826718409,123.78410487353892,120.88969868008127,89.24419096494427,93.58580025513075,94.93652314541099,38.978003405229714,926.1135017
2021/2/10,30.425296231398118,57.25065283236364,158.16508956932915,129.94620795013168,119.3786432285392,116.93997444663323,88.48883865773041,97.31449710653291,92.437159542721,35.76714213462069,926.1135017
2021/2/11,30.425296231398118,57.25065283236364,158.16508956932915,129.94620795013168,119.3786432285392,116.93997444663323,88.48883865773041,97.31449710653291,92.437159542721,35.76714213462069,926.1135017
2021/2/12,30.425296231398118,57.25065283236364,158.16508956932915,129.94620795013168,119.3786432285392,116.93997444663323,88.48883865773041,97.31449710653291,92.437159542721,35.76714213462069,926.1135017
2021/2/13,30.425296231398118,57.25065283236364,158.16508956932915,129.94620795013168,119.3786432285392,116.93997444663323,88.48883865773041,97.31449710653291,92.437159542721,35.76714213462069,926.1135017
2021/2/14,30.425296231398118,57.25065283236364,158.16508956932915,129.94620795013168,119.3786432285392,116.93997444663323,88.48883865773041,97.31449710653291,92.437159542721,35.76714213462069,926.1135017
2021/2/15,30.425296231398118,57.25065283236364,158.16508956932915,129.94620795013168,119.3786432285392,116.93997444663323,88.48883865773041,97.31449710653291,92.437159542721,35.76714213462069,926.1135017
2021/2/16,30.425296231398118,57.25065283236364,158.16508956932915,129.94620795013168,119.3786432285392,116.93997444663323,88.48883865773041,97.31449710653291,92.437159542721,35.76714213462069,926.1135017
2021/2/17,42.05116920716136,47.41339883760476,159.59688715872315,123.89572672445527,122.343502357748,109.5023735058967,86.07789669922292,105.5512569360963,89.60567935083041,40.07561092226116,926.1135017
2021/2/18,43.90872679338717,49.507826183147955,166.6468792057748,129.36866484763064,127.7478729190157,114.33950332774646,89.88027967773884,110.21385114581746,93.5638976973183,41.84590070242267,967.0234025
2021/2/19,44.52306238421453,50.20049986944995,168.97846831055918,131.17868715886027,129.53521841313423,115.93924969849154,91.13781226298948,111.75587470937072,94.87296850327594,42.431374889654116,980.5532162
2021/2/20,42.030798062471426,47.390430030169135,159.51957251226574,123.83570704312051,122.28423463141857,109.44932649824776,86.03619737619991,105.50012399573366,89.56227103915893,40.056196811214384,925.664858
2021/2/21,40.78175573612677,45.982113850129515,154.77907965623953,120.15564273932651,118.65027591685205,106.19678674910864,83.4794328826756,102.36494392826451,86.90072111557215,38.865834325704704,898.1565869
2021/2/22,40.153451360109706,45.27369012415055,152.3944747928996,118.30446407441718,116.82228969535275,104.56066528672864,82.19330647539235,100.78785777638275,85.56188460962976,38.267047604936764,884.3191318
2021/2/23,40.76778695093707,45.96636381045254,154.72606389768399,120.1144863856468,118.60963518947129,106.16041165747372,83.450839060643,102.32988133993601,86.87095541558739,38.85252179216821,897.8489455
2021/2/24,34.17689459594519,54.30478904177853,168.5880018013423,133.7356745058725,135.89705914435123,123.06383785338369,95.10092409306488,106.58327998498322,86.99573169876957,27.692740680508948,966.1389334
2021/2/25,36.107672182606265,57.372664890939596,178.11215369127515,141.29089114932887,143.57438029921698,130.01616347175616,100.47352259507831,112.60455870385906,91.91043828299776,29.257204732941833,1020.71965
2021/2/26,37.5543950571868,59.67141032802014,185.2485574362416,146.95198065855706,149.32696216414988,135.22550947469242,104.49918624608502,117.11627549454698,95.59300560011187,30.42945054040828,1061.616733
2021/2/27,35.12913342774049,55.81783256107382,173.28521153288588,137.46182645637583,139.68343173243846,126.49265040581656,97.75063214675615,109.55291017583892,89.41961236152125,28.46431759955257,993.0575584
2021/2/28,34.155582586269574,54.27092569043624,168.4828737852349,133.6522796854027,135.8123165288031,122.98709777111299,95.04162110961968,106.51681684018456,86.941482946868,27.675472056068234,965.536469
2021/3/1,33.6660864816415,53.49314927122483,166.06828430469798,131.7368601455537,133.86594071356262,121.22452484100951,93.67954499239373,104.99028550994127,85.69549286236017,27.27884477761465,951.6990139
2021/3/2,36.08137224538591,57.33087605788591,177.98242119463086,141.18797835151008,143.46980426426174,129.92146290729866,100.40034016107383,112.52254032256711,91.84349298825504,29.235894507130872,1019.976183
